report_id,base_len,parla_len
TCGA-86-7701,687,698
TCGA-22-5481,814,1051
TCGA-CN-6022,1076,1613
TCGA-BQ-5894,1009,1647
TCGA-BH-A0BS,1079,1719
TCGA-A6-A567,938,1103
TCGA-77-6845,840,824
TCGA-SW-A7EB,825,918
TCGA-5P-A9K6,632,555
TCGA-XK-AAIV,895,2500
TCGA-FY-A3RA,760,1004
TCGA-24-2288,1090,1581
TCGA-24-1558,1019,1065
TCGA-63-A5MH,571,758
TCGA-BG-A0M4,774,1563
TCGA-BJ-A3F0,981,956
TCGA-NA-A4QX,1088,700
TCGA-23-1118,1023,2101
TCGA-V1-A8WW,1014,961
TCGA-B2-5636,699,809
TCGA-SR-A6N0,533,646
TCGA-FR-A3R1,992,1056
TCGA-BG-A18A,964,1160
TCGA-HT-7479,714,977
TCGA-XF-AAN7,1011,2015
TCGA-CQ-5324,956,1353
TCGA-06-0209,844,1044
TCGA-AA-A01V,632,1242
TCGA-FZ-5924,962,1280
TCGA-DS-A0VM,937,2795
TCGA-CN-A6UY,847,1362
TCGA-AA-3950,775,816
TCGA-BC-A3KF,911,1686
TCGA-DK-A1AC,843,2103
TCGA-77-6844,1035,1341
TCGA-61-2102,766,1031
TCGA-EJ-A7NG,887,1809
TCGA-66-2788,1084,1405
TCGA-E2-A14Q,810,1154
TCGA-DU-7302,851,1331
TCGA-CJ-4637,965,1124
TCGA-2G-AAGW,644,532
TCGA-HZ-7289,1059,1699
TCGA-RW-A7CZ,689,568
TCGA-A2-A0YT,1076,1745
TCGA-EJ-7317,950,1569
TCGA-55-7815,822,1328
TCGA-UB-A7MB,921,1843
TCGA-CV-A45O,838,1143
TCGA-E2-A1IF,967,969
TCGA-WB-A819,589,1021
TCGA-B0-4691,884,2396
TCGA-49-4486,753,955
TCGA-2J-AABP,722,1354
TCGA-BH-A18K,1143,1505
TCGA-CV-7248,818,1521
TCGA-55-8097,883,1615
TCGA-BJ-A3PU,746,1211
TCGA-76-6283,792,920
TCGA-YT-A95F,533,498
TCGA-Z4-AAPG,516,452
TCGA-HT-8109,883,945
TCGA-E7-A519,967,913
TCGA-AC-A3TM,1050,2355
TCGA-E9-A3X8,500,823
TCGA-DX-AB2T,640,823
TCGA-BA-4075,958,1296
TCGA-CJ-4900,829,1768
TCGA-4K-AAAL,680,651
TCGA-AG-A025,716,1913
TCGA-RD-A8N5,946,1047
TCGA-BQ-5888,1052,1503
TCGA-AC-A7VB,788,2094
TCGA-IB-AAUN,978,1290
TCGA-EJ-A65G,747,1909
TCGA-CM-4743,1024,1275
TCGA-UW-A7GJ,1126,1857
TCGA-BG-A0MT,780,1291
TCGA-DD-AAE8,907,928
TCGA-37-A5EN,705,706
TCGA-BH-A1F6,929,1243
TCGA-24-2289,773,1182
TCGA-DB-5275,791,950
TCGA-EY-A1GS,1020,1675
TCGA-CJ-5680,905,1156
TCGA-44-6146,990,887
TCGA-BA-6869,1060,1424
TCGA-VQ-A8DU,1153,1448
TCGA-D8-A4Z1,734,798
TCGA-BB-4227,1048,1582
TCGA-MQ-A4LP,843,798
TCGA-ET-A3BV,763,839
TCGA-HW-A5KK,755,616
TCGA-A8-A06X,622,635
TCGA-CJ-4639,708,980
TCGA-ZM-AA0B,586,662
TCGA-BR-6452,697,642
TCGA-V1-A9OH,904,1029
TCGA-S7-A7WO,1010,1018
TCGA-CH-5754,976,1488
TCGA-G7-6792,762,955
TCGA-EW-A2FW,960,902
TCGA-E2-A1IO,825,1203
TCGA-BG-A0MH,899,1757
TCGA-A6-5667,837,1228
TCGA-OL-A66K,914,1809
TCGA-LL-A5YO,770,1142
TCGA-61-1900,847,1172
TCGA-2Y-A9H8,740,1239
TCGA-85-A4QR,908,975
TCGA-AA-3819,658,561
TCGA-AA-A02F,759,1261
TCGA-FY-A40L,1157,1275
TCGA-43-7658,633,942
TCGA-EL-A3MX,710,718
TCGA-EK-A2PI,824,1473
TCGA-J1-A4AH,696,1079
TCGA-QR-A707,760,530
TCGA-BR-8373,882,1287
TCGA-UD-AAC1,767,982
TCGA-09-0366,1229,1566
TCGA-90-7767,640,1040
TCGA-RY-A83Y,692,980
TCGA-CJ-4891,1054,1413
TCGA-Z6-A9VB,769,662
TCGA-ZS-A9CG,1084,1057
TCGA-CV-A45Q,1053,1362
TCGA-GM-A2DD,1023,1773
TCGA-AA-A017,697,831
TCGA-HT-8110,670,543
TCGA-06-0139,862,1447
TCGA-CH-5769,577,1156
TCGA-MX-A5UG,982,1680
TCGA-AO-A0JB,1022,2588
TCGA-NH-A8F8,893,1242
TCGA-78-7155,669,1016
TCGA-CZ-4863,747,1049
TCGA-VS-A94Z,457,507
TCGA-ZF-A9RC,837,1398
TCGA-WB-A81J,563,489
TCGA-ED-A459,647,1149
TCGA-AC-A2BM,952,1350
TCGA-S9-A6TY,430,348
TCGA-QR-A70W,514,467
TCGA-05-4390,778,1054
TCGA-DD-AAE7,735,986
TCGA-L5-A8NT,1068,1105
TCGA-18-3408,700,765
TCGA-86-7714,832,912
TCGA-E2-A573,874,1297
TCGA-D7-6525,1035,1031
TCGA-BP-4975,1123,1041
TCGA-3B-A9HQ,621,1124
TCGA-BP-5000,760,1359
TCGA-XV-A9VZ,813,428
TCGA-5L-AAT0,568,536
TCGA-KU-A66S,772,1600
TCGA-46-6026,1152,1050
TCGA-R8-A6MO,810,793
TCGA-A2-A25C,825,948
TCGA-A3-3362,679,1028
TCGA-K7-A5RF,1248,1495
TCGA-TN-A7HJ,882,557
TCGA-AF-2689,1074,1334
TCGA-CJ-4640,770,1089
TCGA-QR-A6GX,708,648
TCGA-G2-A3IB,604,885
TCGA-BA-A6DE,797,1324
TCGA-S7-A7WR,927,931
TCGA-B5-A11E,803,923
TCGA-D8-A1X8,820,1584
TCGA-EW-A1PD,767,1256
TCGA-EB-A4IS,549,577
TCGA-GV-A3QI,965,1197
TCGA-P5-A5EX,465,674
TCGA-HT-7860,792,966
TCGA-A1-A0SH,1092,1542
TCGA-BR-6709,771,872
TCGA-BH-A0DI,973,2400
TCGA-43-8118,1099,1619
TCGA-DK-AA6P,873,855
TCGA-19-A60I,635,984
TCGA-UF-A7JD,986,1613
TCGA-BH-A204,887,1012
TCGA-ZF-A9R1,818,1104
TCGA-06-0412,617,661
TCGA-49-AARE,730,664
TCGA-3B-A9I0,1103,1323
TCGA-BH-A1F2,1028,1530
TCGA-44-7667,919,1053
TCGA-24-1927,917,1302
TCGA-DJ-A1QL,618,819
TCGA-UZ-A9PN,726,825
TCGA-OR-A5KQ,502,629
TCGA-BP-4807,862,1303
TCGA-CQ-5332,871,975
TCGA-KS-A4IC,788,1007
TCGA-BC-4072,905,1355
TCGA-V7-A7HQ,824,1385
TCGA-A4-A5Y1,1267,2022
TCGA-JW-A5VL,875,624
TCGA-BP-5186,787,1003
TCGA-JW-A69B,629,599
TCGA-FB-A545,842,893
TCGA-AX-A3FV,826,1838
TCGA-63-A5MR,670,894
TCGA-66-2795,908,1373
TCGA-G9-7525,1024,1144
TCGA-DX-AB2E,938,1394
TCGA-G2-A3VY,695,771
TCGA-FD-A5C0,994,1474
TCGA-IR-A3LH,866,1997
TCGA-34-5927,828,916
TCGA-68-8250,1252,1415
TCGA-3M-AB47,1064,1528
TCGA-F4-6460,763,694
TCGA-DO-A1JZ,737,847
TCGA-85-8666,565,691
TCGA-BR-7716,587,668
TCGA-AY-5543,992,2099
TCGA-UN-AAZ9,776,916
TCGA-Y6-A8TL,810,1095
TCGA-HT-7474,805,908
TCGA-A7-A13D,834,1054
TCGA-ZJ-AAX4,953,2336
TCGA-AQ-A04J,903,1899
TCGA-XF-A9SJ,1126,2645
TCGA-IB-AAUT,1044,975
TCGA-BR-8285,620,1102
TCGA-50-8460,1067,1102
TCGA-HC-A4ZV,974,1020
TCGA-68-7755,879,1774
TCGA-32-2634,1025,1269
TCGA-S9-A6UB,382,681
TCGA-12-3648,755,916
TCGA-62-A472,614,529
TCGA-BP-4332,785,1302
TCGA-AF-6672,917,1588
TCGA-FA-A6HN,758,783
TCGA-KS-A4ID,890,871
TCGA-KM-A7QJ,763,834
TCGA-BB-A5HY,832,1243
TCGA-EY-A1GE,982,2137
TCGA-3B-A9HX,722,1007
TCGA-AD-A5EK,1034,1326
TCGA-EJ-7783,1147,1289
TCGA-05-5425,555,595
TCGA-EM-A3FN,927,1413
TCGA-CJ-4871,799,1173
TCGA-HT-A616,621,569
TCGA-CV-5970,1261,1443
TCGA-G2-A2EC,697,727
TCGA-L5-A43C,849,1279
TCGA-AA-3877,1013,1886
TCGA-AX-A2HK,793,1506
TCGA-CW-6087,747,1631
TCGA-BF-AAP6,615,410
TCGA-3B-A9HU,1030,1429
TCGA-3X-AAV9,915,960
TCGA-D8-A27K,875,1309
TCGA-3A-A9IL,1014,1368
TCGA-32-1986,626,604
TCGA-KK-A5A1,795,2059
TCGA-N6-A4V9,1142,2089
TCGA-QT-A5XL,554,723
TCGA-AA-A00O,679,696
TCGA-38-A44F,787,1414
TCGA-NJ-A55O,911,1349
TCGA-55-8302,891,1315
TCGA-AR-A24Q,997,1313
TCGA-44-A47F,934,876
TCGA-44-7672,935,1154
TCGA-BM-6198,924,1720
TCGA-F4-6807,747,687
TCGA-99-7458,933,1265
TCGA-BR-4188,580,680
TCGA-29-2425,872,1012
TCGA-56-8083,1042,1381
TCGA-FP-A4BF,866,1751
TCGA-QC-A7B5,735,987
TCGA-DB-A4XC,901,1408
TCGA-CG-5720,790,1338
TCGA-B6-A0RE,809,831
TCGA-D8-A27R,984,1531
TCGA-BP-4967,897,1161
TCGA-CJ-4873,719,842
TCGA-ET-A3DV,683,996
TCGA-A4-7996,730,1019
TCGA-CZ-5462,783,1286
TCGA-HV-A5A5,910,1483
TCGA-TQ-A7RS,1026,1128
TCGA-4V-A9QR,972,1159
TCGA-06-5856,616,767
TCGA-HW-8321,1311,1318
TCGA-74-6577,1109,925
TCGA-4X-A9F9,1025,1044
TCGA-BB-8596,953,794
TCGA-NF-A4X2,1027,1311
TCGA-SQ-A6I4,719,1162
TCGA-A4-A6HP,1328,1688
TCGA-DX-A3LS,934,1102
TCGA-46-3769,585,4113
TCGA-BQ-5885,1130,1716
TCGA-E9-A249,563,935
TCGA-CV-5440,843,1196
TCGA-AA-A00U,862,742
TCGA-V4-A9EA,747,728
TCGA-D1-A174,902,2005
TCGA-QR-A706,829,893
TCGA-06-0878,826,840
TCGA-CZ-5455,1007,1637
TCGA-77-8130,775,926
TCGA-A5-A0R7,810,1959
TCGA-YL-A8HK,984,986
TCGA-91-6835,726,1191
TCGA-78-7539,941,1724
TCGA-YZ-A982,820,1402
TCGA-CN-4731,825,2008
TCGA-CR-7367,939,1787
TCGA-BA-5555,943,1290
TCGA-DU-7012,633,790
TCGA-B6-A0IB,830,1280
TCGA-CI-6620,482,495
TCGA-NA-A4R0,898,864
TCGA-VQ-A8PO,1042,1170
TCGA-BR-8368,694,963
TCGA-32-4208,754,892
TCGA-61-2088,1129,1294
TCGA-UF-A71B,866,1131
TCGA-CN-A49B,753,1912
TCGA-2H-A9GH,680,535
TCGA-06-0142,635,605
TCGA-DJ-A3UU,790,899
TCGA-A4-7584,926,1722
TCGA-CH-5738,715,1132
TCGA-VR-A8ET,872,927
TCGA-HC-7738,941,958
TCGA-G5-6235,828,1080
TCGA-06-6391,406,381
TCGA-VQ-A8PC,927,1449
TCGA-TM-A84J,851,1930
TCGA-AA-3519,1035,934
TCGA-28-2499,593,652
TCGA-E9-A248,698,859
TCGA-A8-A0A2,854,952
TCGA-G9-6362,1003,1813
TCGA-A3-3328,903,891
TCGA-2G-AAF4,493,438
TCGA-D7-6528,792,757
TCGA-E7-A4XJ,956,1016
TCGA-29-2432,1175,993
TCGA-E1-A7YO,604,787
TCGA-BA-5152,823,1012
TCGA-BR-8078,697,666
TCGA-77-7463,739,1037
TCGA-DX-A8BN,1148,1077
TCGA-SX-A7SS,816,952
TCGA-AA-3872,1059,863
TCGA-BP-4335,956,1357
TCGA-AC-A3OD,897,1058
TCGA-AN-A0XU,762,572
TCGA-FE-A233,855,874
TCGA-22-5477,725,1156
TCGA-AO-A124,1001,2125
TCGA-DJ-A2Q2,936,1118
TCGA-FD-A6TH,1096,1671
TCGA-BR-6803,624,627
TCGA-W4-A7U4,945,1242
TCGA-AA-A01S,570,614
TCGA-85-7696,590,542
TCGA-EK-A2RK,1031,1618
TCGA-29-1768,854,661
TCGA-J4-A83K,921,1272
TCGA-BH-A0BM,816,2271
TCGA-B4-5843,543,414
TCGA-HZ-A77P,750,1166
TCGA-DX-A3U8,1112,1990
TCGA-D5-6533,692,757
TCGA-BH-A18I,794,1957
TCGA-BH-A0BR,983,1359
TCGA-22-1016,404,595
TCGA-B0-4710,972,1117
TCGA-EW-A1P6,856,1539
TCGA-DH-5140,1053,1159
TCGA-CQ-5333,1046,1180
TCGA-XR-A8TD,714,816
TCGA-CQ-6222,1259,1304
TCGA-DX-A6B7,1068,1493
TCGA-OL-A66J,1018,2896
TCGA-EW-A6SC,745,1287
TCGA-DJ-A2PT,847,1301
TCGA-24-1419,790,1155
TCGA-QR-A6H2,550,674
TCGA-CG-5722,913,2005
TCGA-VS-A959,375,495
TCGA-RR-A6KC,523,633
TCGA-29-1703,826,1621
TCGA-85-8049,631,853
TCGA-GL-A59T,925,991
TCGA-DU-A76L,912,1084
TCGA-SC-A6LQ,827,787
TCGA-GS-A9TU,816,878
TCGA-91-6848,740,1914
TCGA-EL-A3N3,945,927
TCGA-AX-A2IN,839,1324
TCGA-BT-A20O,942,1583
TCGA-2H-A9GI,718,530
TCGA-GR-A4D5,1070,1012
TCGA-05-4424,845,1482
TCGA-B0-5697,802,1144
TCGA-E5-A4TZ,554,476
TCGA-G9-A9S4,1005,1391
TCGA-49-4490,1050,1092
TCGA-DJ-A1QF,862,1239
TCGA-D8-A27M,766,613
TCGA-A2-A0YM,759,1255
TCGA-CZ-5989,817,1443
TCGA-D7-A6EV,656,963
TCGA-FB-AAQ1,946,1466
TCGA-DE-A0Y3,883,1358
TCGA-F2-7276,862,1840
TCGA-CV-A6JO,777,1904
TCGA-A3-3317,831,949
TCGA-AY-A54L,815,1731
TCGA-FU-A5XV,888,1113
TCGA-SR-A6MT,711,1233
TCGA-AK-3434,685,917
TCGA-D1-A0ZS,1037,1615
TCGA-FA-8693,844,742
TCGA-05-4382,703,963
TCGA-AA-3684,810,898
TCGA-A8-A07F,588,602
TCGA-78-7145,905,1046
TCGA-BC-A10Z,949,1560
TCGA-EO-A3KX,779,1259
TCGA-CV-7254,1058,961
TCGA-D1-A17H,867,1382
TCGA-DF-A2KZ,703,585
TCGA-AC-A23G,966,1826
TCGA-ZG-A9ND,805,1019
TCGA-BG-A222,1159,2401
TCGA-BH-A0B1,1341,1772
TCGA-DK-AA6M,927,841
TCGA-78-7536,959,1201
TCGA-C5-A1BQ,543,744
TCGA-P4-AAVO,906,1572
TCGA-EV-5901,947,844
TCGA-HT-7686,717,726
TCGA-KM-8440,898,907
TCGA-EW-A1OV,989,1410
TCGA-E9-A1NG,555,750
TCGA-58-A46N,655,494
TCGA-DJ-A13R,1015,1303
TCGA-2G-AAFE,595,447
TCGA-A7-A4SF,1158,1026
TCGA-C5-A7XC,737,893
TCGA-DJ-A2PY,913,1241
TCGA-DB-A64L,635,1028
TCGA-D8-A140,871,1271
TCGA-AG-3609,931,1028
TCGA-2Y-A9GY,949,1077
TCGA-FD-A3B5,999,1595
TCGA-KC-A7F5,951,1184
TCGA-EJ-5496,1004,1649
TCGA-95-7948,741,1607
TCGA-DK-A1AB,890,2229
TCGA-AA-3941,742,790
TCGA-86-8054,544,593
TCGA-F4-6703,659,670
TCGA-73-4658,1008,1480
TCGA-4X-A9FC,756,1083
TCGA-09-2048,1299,1173
TCGA-21-1079,869,1049
TCGA-A2-A0EM,946,1494
TCGA-BP-4768,956,1390
TCGA-D5-6922,906,963
TCGA-G3-A5SJ,834,1430
TCGA-EL-A3GU,887,909
TCGA-28-5213,632,1104
TCGA-OR-A5JR,656,588
TCGA-B8-4143,887,927
TCGA-HC-8265,964,1527
TCGA-D9-A3Z4,675,576
TCGA-CV-7091,906,1623
TCGA-67-3770,815,882
TCGA-E2-A14W,614,1032
TCGA-DX-A1L3,481,828
TCGA-AY-A69D,953,1512
TCGA-BR-6566,613,646
TCGA-B4-5844,557,600
TCGA-A2-A0CW,1182,2095
TCGA-4Z-AA7O,734,882
TCGA-DG-A2KM,548,516
TCGA-YL-A9WY,810,1162
TCGA-06-0127,543,625
TCGA-HF-A5NB,780,808
TCGA-EJ-5495,1087,1785
TCGA-G9-6377,1242,1126
TCGA-NF-A5CP,741,1181
TCGA-HC-8212,881,1484
